location,bath,bhk,total_sqft_float,price_sqft
4,2.0,2,1050.0,6190.476190476191
5,2.0,2,1200.0,3900.0
1,1.0,1,451.0,6629.711751662971
8,3.0,3,1800.0,5277.777777777777
5,2.0,2,1160.0,3793.103448275862
25,2.0,2,1000.0,2500.0
23,2.0,2,950.0,4210.526315789473
0,2.0,2,1245.0,7550.2008032128515
32,2.0,2,1145.0,3999.1266375545847
42,3.0,3,1693.0,6379.20850561134
10,2.0,2,1113.27,4760.74986301616
7,3.0,3,1208.0,3725.1655629139077
40,3.0,3,1910.0,8429.319371727748
40,4.0,4,3252.0,7072.570725707257
0,2.0,2,1175.0,6978.723404255319
4,2.0,4,1200.0,10416.666666666668
33,3.0,3,2390.0,17154.811715481173
33,6.0,7,12000.0,18333.333333333332
25,1.0,1,370.923994,4987.544698982186
25,2.0,2,750.0,5066.666666666667
23,3.0,3,1550.0,4161.290322580645
30,3.0,3,1350.0,11111.111111111111
15,2.0,2,985.0,6802.030456852793
7,5.0,6,1533.0,5544.683626875408
29,3.0,3,1933.0,7242.628039317124
32,2.0,2,1419.0,3389.711064129669
0,8.0,8,1200.0,20833.333333333336
24,4.0,3,1000.0,11000.0
40,4.0,4,11890.0,5887.300252312868
6,2.0,2,1250.0,6080.0
0,2.0,3,1400.0,6785.714285714285
36,2.0,3,1670.0,3413.1736526946106
15,2.0,3,1715.0,5539.35860058309
8,1.0,1,630.0,5500.0
12,3.0,3,1752.12,7704.951715635916
18,3.0,3,1650.0,4727.272727272727
32,2.0,2,1295.0,4283.397683397683
36,2.0,2,1346.0,5500.0
16,2.0,2,1150.0,4782.608695652174
7,2.0,3,1190.0,2550.4201680672268
29,2.0,2,950.0,4943.1578947368425
12,3.0,3,2450.0,4897.959183673469
9,2.0,3,1220.0,2887.7049180327867
13,2.0,3,1760.0,7386.363636363637
2,2.0,2,1070.0,5046.728971962617
40,2.0,2,1130.0,3730.973451327433
26,2.0,2,1320.0,12500.0
0,4.0,4,3600.0,11111.111111111111
31,7.0,5,4500.0,7488.88888888889
15,2.0,2,1196.0,7894.648829431439
8,2.0,2,1128.0,5585.106382978724
41,2.0,2,1035.0,4347.826086956522
40,2.0,2,1040.0,4663.461538461538
15,3.0,3,1545.0,4449.838187702265
19,2.0,2,1000.0,3500.0000000000005
36,2.0,2,1195.0,5857.740585774059
1,4.0,4,660.0,13636.363636363636
11,5.0,4,2805.0,5490.196078431372
5,3.0,3,1584.0,4103.535353535353
8,3.0,3,1599.0,7817.385866166354
40,2.0,2,1150.0,6086.956521739131
20,6.0,4,5230.0,8891.013384321224
21,2.0,2,1155.0,3700.4329004329006
9,2.0,2,1000.0,2500.0
37,4.0,4,3000.0,4000.0
4,2.0,3,1170.0,5641.025641025642
13,4.0,3,2400.0,10208.333333333334
23,2.0,2,1135.0,3500.4405286343613
40,3.0,3,1768.0,5712.669683257918
8,3.0,3,1599.0,6191.369606003752
40,3.0,3,1500.0,4130.0
38,2.0,2,1286.0,4898.9113530326595
14,2.0,2,1317.5,4840.22770398482
13,5.0,3,3450.0,7536.231884057971
41,2.0,2,1350.0,4000.0
3,2.0,3,1200.0,3500.0000000000005
17,6.0,6,1300.0,11153.846153846154
23,1.0,1,525.0,5190.476190476191
29,4.0,4,1780.0,9831.460674157304
4,1.0,1,595.0,5600.0
0,3.0,3,2225.0,7191.011235955057
10,3.0,3,1490.0,5637.583892617449
36,3.0,3,1550.0,6451.612903225806
40,4.0,4,4144.0,7601.351351351352
36,3.0,3,2100.0,5952.380952380952
36,4.0,4,2230.0,10089.686098654709
29,2.0,2,1230.0,6504.065040650407
12,3.0,3,1460.0,5000.0
16,1.0,1,715.0,6433.566433566433
40,3.0,3,2500.0,12520.0
26,2.0,2,1253.0,8140.462889066242
12,3.0,3,1709.0,8777.062609713283
36,3.0,3,1249.0,3579.6637309847874
28,7.0,7,12000.0,18333.333333333332
32,2.0,2,1133.0,4330.979699911739
37,2.0,2,1075.0,4260.46511627907
22,2.0,2,1140.0,3508.771929824561
32,2.0,2,1090.0,3853.211009174312
40,4.0,4,4104.0,8771.929824561403
40,3.0,3,1790.0,5586.592178770949
13,3.0,3,1920.0,6979.166666666667
4,3.0,3,1445.0,6574.39446366782
40,3.0,3,1720.0,5813.953488372093
6,2.0,2,1000.0,5000.0
29,4.0,4,3800.0,6578.9473684210525
28,5.0,4,2500.0,13000.0
11,2.0,2,1194.0,3936.348408710218
14,2.0,3,1500.0,4133.333333333333
35,2.0,2,1128.0,5319.148936170212
13,3.0,3,1500.0,10000.0
36,2.0,2,1210.0,4793.388429752066
23,2.0,3,1100.0,5272.727272727273
11,5.0,4,3385.0,7680.945347119646
32,2.0,2,1260.0,5348.412698412698
41,2.0,2,1132.5,4249.889624724062
41,2.0,2,1210.0,3800.0
37,3.0,3,1702.0,7638.072855464159
32,2.0,2,1141.0,3378.615249780894
41,3.0,3,35000.0,371.42857142857144
16,7.0,7,1200.0,12500.0
4,2.0,3,1640.0,7317.073170731707
29,2.0,2,1019.0,4892.051030421982
2,3.0,3,1250.0,3200.0
40,2.0,2,1140.0,4912.2807017543855
22,3.0,3,1515.0,5498.349834983498
15,4.0,4,2118.0,5240.793201133145
4,3.0,4,1380.0,4202.898550724637
8,2.0,2,1125.0,2888.0000000000005
27,3.0,3,1580.0,4810.126582278481
9,2.0,2,1090.0,2600.0
14,3.0,3,2264.0,7022.968197879859
13,2.0,2,1337.0,6133.1338818249815
7,2.0,2,1200.0,2666.666666666667
26,3.0,3,1580.0,10126.582278481012
5,2.0,3,1500.0,3599.9999999999995
40,4.0,3,1640.0,5548.780487804878
25,2.0,2,1160.0,3500.862068965517
0,2.0,2,1050.0,6761.904761904762
4,2.0,3,1460.0,6164.3835616438355
18,3.0,3,1823.0,5485.463521667581
8,2.0,2,1094.0,3839.1224862888484
20,2.0,3,1590.0,7861.635220125786
32,4.0,4,1200.0,18333.333333333332
11,2.0,2,1202.0,4409.317803660566
35,2.0,2,1185.0,3966.2447257383965
3,2.0,2,1077.0,3494.8932219127205
40,2.0,2,805.0,4347.826086956522
40,2.0,2,1155.0,5190.476190476191
40,4.0,3,2280.0,5526.315789473684
20,2.0,2,1279.0,6020.3283815480845
9,4.0,4,2225.0,4444.044943820225
37,2.0,2,1185.0,3671.729957805907
18,2.0,2,1300.0,2769.2307692307695
38,2.0,2,1101.0,4087.193460490463
42,1.0,1,667.0,5524.737631184408
8,2.0,2,1070.0,5140.186915887851
35,4.0,5,4360.0,2064.2201834862385
26,3.0,3,1750.0,7428.571428571428
29,2.0,2,1215.0,5514.40329218107
40,3.0,3,1650.0,3636.363636363636
22,2.0,2,1185.0,3459.915611814346
26,2.0,2,1120.0,5803.571428571428
29,3.0,4,2181.0,6969.280146721688
4,2.0,3,1556.0,3800.1285347043704
4,2.0,2,1179.0,5599.660729431721
37,2.0,2,1296.0,6404.3209876543215
22,2.0,2,1275.0,4078.4313725490197
8,2.0,2,940.0,4361.702127659574
37,2.0,2,1185.0,3594.9367088607596
5,3.0,3,1615.0,3700.30959752322
11,2.0,2,1056.0,5776.515151515151
0,2.0,2,1100.0,4181.818181818182
24,3.0,3,1717.0,5765.870704717531
14,2.0,2,1157.0,7260.155574762317
7,2.0,2,1025.0,2700.487804878049
13,2.0,2,1349.0,7264.6404744255005
8,2.0,3,1320.0,2888.6363636363635
39,2.0,2,1091.0,3198.900091659028
0,2.0,2,918.0,5500.0
42,4.0,4,1950.0,6666.666666666667
41,3.0,3,1705.0,5571.847507331378
23,1.0,1,525.0,5714.285714285714
40,2.0,2,1447.0,5736.005528680028
37,2.0,2,1114.0,3500.897666068223
0,2.0,3,1450.0,6896.551724137931
13,2.0,2,1000.0,4500.0
8,2.0,2,1128.0,6094.858156028369
23,2.0,2,1180.0,4830.5084745762715
30,2.0,2,1200.0,12500.0
23,2.0,2,1339.0,5601.194921583271
0,2.0,2,1040.0,3800.0000000000005
36,3.0,3,1691.0,6682.436428149024
1,3.0,3,1240.0,3508.064516129032
4,2.0,2,1122.5,5250.334075723831
29,3.0,3,2489.0,3776.617115307352
32,4.0,6,1200.0,10416.666666666668
10,2.0,2,1175.0,4380.425531914893
42,2.0,2,1170.0,4871.794871794872
21,2.0,2,1225.0,3800.0
8,2.0,2,1342.0,5461.997019374068
38,2.0,2,1345.0,4981.412639405205
32,2.0,2,1140.0,4332.456140350877
17,3.0,3,1652.0,5145.2784503631965
8,2.0,3,1360.0,5220.588235294118
38,2.0,3,1540.0,2597.4025974025976
36,2.0,2,1278.0,7433.489827856026
9,1.0,1,630.0,6349.206349206349
23,3.0,3,1100.0,5272.727272727273
7,1.0,1,582.5,2598.283261802575
34,2.0,2,1050.0,3523.8095238095234
0,2.0,2,1070.0,3999.0654205607475
39,2.0,2,1385.0,5776.173285198556
39,1.0,1,1000.0,7000.000000000001
40,3.0,3,1897.0,6852.9256721138645
14,3.0,3,1904.0,6302.5210084033615
9,3.0,2,2400.0,6250.0
36,3.0,3,2238.0,6255.585344057194
12,2.0,2,1174.0,5877.342419080068
40,2.0,3,2225.0,5617.9775280898875
36,3.0,3,1800.0,6111.111111111111
29,2.0,2,1170.0,4529.914529914529
4,2.0,2,793.0,5674.653215636822
20,3.0,3,1710.0,6257.309941520468
41,2.0,3,1590.0,3396.2264150943397
37,2.0,2,1142.5,3800.0
6,5.0,5,4239.0,9978.768577494693
17,2.0,2,1045.0,9463.157894736843
29,2.0,2,1019.0,4893.032384690873
38,2.0,3,1135.0,3500.4405286343613
13,5.0,4,2470.0,10000.0
34,4.0,5,1800.0,10388.888888888889
24,3.0,3,1799.0,5002.77932184547
40,2.0,2,1495.0,5317.725752508361
24,4.0,4,3260.0,7361.963190184049
26,5.0,4,3500.0,12142.857142857143
41,5.0,4,3206.0,8421.70929507174
38,3.0,3,1540.0,3246.7532467532465
17,3.0,3,1639.0,4881.0250152532035
29,4.0,4,700.0,10285.714285714286
32,2.0,2,1303.0,4281.657712970069
26,1.0,2,1005.0,10945.273631840797
7,3.0,3,1305.0,2550.191570881226
33,3.0,3,1725.0,11594.202898550724
35,2.0,3,900.0,4666.666666666667
39,3.0,3,1535.0,4299.022801302931
36,2.0,2,1115.0,4484.304932735426
38,2.0,2,1175.0,4000.0
40,2.0,2,1113.0,5570.530098831986
38,4.0,6,1200.0,18750.0
34,4.0,5,1640.0,14634.146341463415
29,2.0,2,1325.0,5400.0
10,2.0,2,950.0,3263.157894736842
20,2.0,3,1396.0,6196.991404011462
37,3.0,3,1825.0,5479.45205479452
0,2.0,2,1190.0,4200.0
29,2.0,2,1220.0,4631.147540983607
14,3.0,3,1891.0,5764.1459545214175
17,2.0,2,1161.0,4750.215331610681
35,1.0,1,649.5,2699.7690531177827
33,4.0,4,315.0,28571.42857142857
42,1.0,1,665.0,5541.353383458647
15,2.0,2,1425.0,5614.035087719299
32,1.0,1,600.0,3666.6666666666665
11,3.0,3,1810.0,5524.861878453038
12,2.0,2,1033.0,4743.465634075508
9,2.0,3,1400.0,2887.8571428571427
40,3.0,4,2268.0,7186.9488536155195
23,3.0,3,1100.0,4818.181818181818
7,2.0,2,1400.0,4285.714285714285
23,3.0,3,1843.0,5200.217037438958
11,2.0,2,1194.0,3852.5963149078725
15,2.0,2,1420.0,5281.69014084507
2,2.0,2,1280.0,4531.25
40,2.0,3,1560.0,4615.384615384615
0,3.0,3,1500.0,11333.333333333332
19,2.0,2,1100.0,6363.636363636363
24,2.0,3,1260.0,3200.0
13,2.0,2,1036.0,4826.254826254826
2,3.0,3,1662.0,5120.336943441636
41,2.0,2,1234.0,6482.982171799027
36,3.0,3,1403.0,3920.1710620099784
13,4.0,4,3900.0,10512.820512820514
42,4.0,5,850.0,10588.235294117647
40,2.0,2,1200.0,3820.0000000000005
11,4.0,4,2805.0,5490.196078431372
42,2.0,2,1161.0,5519.3798449612395
23,2.0,2,1290.0,5736.434108527132
42,3.0,3,2557.0,5514.274540477121
31,3.0,3,1350.0,4040.0
3,2.0,3,1470.0,6029.931972789115
36,2.0,2,1346.0,4600.297176820208
41,2.0,2,1315.0,6463.878326996198
38,2.0,3,1390.0,4500.0
38,2.0,3,1330.0,4210.526315789473
0,2.0,3,1420.0,6760.563380281689
14,3.0,3,1561.0,6085.842408712364
15,8.0,8,1120.0,12946.428571428572
11,2.0,2,1225.0,5500.408163265306
37,3.0,3,2144.0,6296.641791044775
25,6.0,7,1200.0,11666.666666666666
8,2.0,2,880.0,3295.454545454545
15,3.0,3,1639.0,6711.4093959731545
37,2.0,3,1240.0,5000.0
23,2.0,2,1500.0,4600.0
11,2.0,2,1243.0,3700.7240547063557
29,3.0,3,1575.0,4952.380952380952
23,3.0,3,1665.0,5200.0
8,2.0,2,1265.0,4500.395256916996
8,2.0,3,1691.0,6031.933767001774
37,2.0,2,1100.0,3454.5454545454545
11,3.0,3,1920.0,5989.583333333334
33,2.0,2,1357.0,8474.57627118644
40,4.0,4,2400.0,8333.333333333332
37,2.0,2,1093.0,6404.391582799634
40,3.0,3,1985.0,3778.3375314861464
9,2.0,2,775.0,4903.225806451613
40,2.0,2,1360.0,6985.294117647059
21,4.0,4,1200.0,10000.0
29,3.0,3,1937.0,8260.196179659268
8,2.0,2,1128.0,5805.851063829787
29,2.0,2,1152.0,4861.111111111111
42,3.0,3,1523.0,11162.179908076165
41,2.0,2,1170.0,5341.880341880342
23,2.0,3,1200.0,3500.0000000000005
2,3.0,3,1897.0,6325.77754348972
11,3.0,3,1875.0,5866.666666666667
41,3.0,3,1450.0,4500.3448275862065
41,1.0,1,697.0,6456.241032998565
36,1.0,1,710.0,3802.8169014084506
12,4.0,4,1200.0,20333.333333333332
36,5.0,4,3335.0,8995.502248875562
37,2.0,2,971.5,3750.3860010293365
6,2.0,2,1281.0,5776.736924277908
39,2.0,2,1024.0,4101.5625
8,3.0,3,1620.0,3827.1604938271607
40,2.0,2,1254.0,3189.7926634768737
3,2.0,3,1300.0,5769.2307692307695
38,2.0,2,1008.0,4464.285714285715
37,2.0,3,1265.0,6245.059288537549
13,2.0,3,1255.0,6189.641434262949
23,6.0,4,2689.0,8181.480104127929
36,3.0,3,1403.0,3679.9714896650034
38,2.0,3,1390.0,4350.359712230216
32,2.0,3,1278.0,4206.572769953052
40,3.0,3,1697.0,5585.739540365351
37,3.0,3,1651.0,5898.243488794669
14,2.0,3,1192.0,5033.557046979866
24,2.0,2,1349.0,5782.060785767235
0,3.0,3,1680.0,7142.857142857142
40,4.0,4,5000.0,8000.0
33,4.0,3,1621.0,8019.740900678593
4,3.0,3,1484.0,3537.7358490566035
0,2.0,2,1050.0,4000.0
38,3.0,3,1617.0,4123.685837971552
8,1.0,2,550.0,2909.090909090909
38,2.0,2,1150.0,4260.869565217391
2,2.0,3,1410.0,5319.148936170212
22,4.0,4,2150.0,4651.162790697675
26,4.0,3,2292.0,11998.25479930192
28,3.0,3,2006.0,14805.583250249252
34,2.0,2,1040.0,4807.692307692308
4,2.0,2,1400.0,5571.428571428572
32,1.0,1,500.0,5000.0
40,4.0,4,4800.0,10937.5
36,4.0,3,1984.0,7358.870967741936
40,5.0,4,3000.0,8333.333333333332
36,2.0,2,1035.0,4347.826086956522
40,3.0,3,1700.0,6764.7058823529405
41,2.0,2,1120.0,4910.714285714285
36,2.0,2,1128.0,5230.496453900709
40,2.0,2,1140.0,3596.4912280701756
40,2.0,2,1190.0,4789.915966386555
40,3.0,3,2842.0,5700.211118930331
23,2.0,3,1558.67,4170.222048284755
10,1.0,1,630.0,6190.476190476191
40,2.0,3,1403.0,4334.283677833215
23,2.0,3,1542.0,5512.321660181582
11,4.0,4,2750.0,8000.0
17,3.0,3,1726.0,4750.289687137891
40,4.0,4,3100.0,15000.0
24,2.0,2,1121.0,6958.073148974129
21,2.0,2,1100.0,4272.727272727272
15,3.0,3,1606.0,5575.965130759651
36,2.0,3,1495.0,4280.936454849498
28,7.0,8,840.0,23214.285714285714
8,2.0,2,710.0,2253.5211267605637
30,2.0,3,1523.0,3506.2376887721603
40,2.0,2,1232.0,3652.5974025974024
13,3.0,3,1355.0,6189.667896678967
37,2.0,3,1430.0,3598.601398601399
8,2.0,2,1070.0,5242.990654205608
8,4.0,4,2000.0,6000.0
29,3.0,3,1610.0,5590.062111801242
11,2.0,2,1140.0,3771.9298245614036
32,2.0,2,1143.0,3381.452318460192
20,6.0,4,3467.86,7180.220654813055
0,2.0,2,980.0,7040.816326530612
40,3.0,3,1485.0,4377.104377104377
40,3.0,3,1500.0,8666.666666666666
37,2.0,2,1265.0,6719.367588932806
19,2.0,2,940.0,5212.765957446808
27,3.0,3,1840.0,3750.0
8,2.0,2,890.0,5056.179775280899
14,3.0,3,2060.0,7233.0097087378645
41,4.0,3,2195.0,5785.876993166287
21,2.0,2,1200.0,5916.666666666667
17,2.0,2,1079.0,3000.0
41,2.0,2,1075.0,4790.697674418604
15,3.0,3,1639.0,5998.779743746186
31,2.0,2,935.0,3499.465240641711
7,2.0,3,1065.0,3098.5915492957747
29,4.0,5,1350.0,10000.0
26,2.0,3,1835.0,8446.866485013625
15,4.0,4,2090.0,4550.23923444976
29,2.0,2,1146.0,6108.202443280978
7,1.0,2,850.0,2176.470588235294
10,1.0,1,785.0,7006.369426751592
32,3.0,3,1610.0,4596.273291925466
6,2.0,2,921.0,4343.105320304017
4,5.0,5,2700.0,5851.851851851852
36,3.0,3,1700.0,6470.588235294118
35,2.0,2,1020.0,3431.372549019608
37,2.0,2,1185.0,3552.7426160337554
12,2.0,2,1197.0,7017.543859649122
32,2.0,2,1105.0,5882.35294117647
42,3.0,3,1850.0,5405.405405405406
23,2.0,3,1300.0,5307.692307692308
4,2.0,2,1215.0,4115.22633744856
23,2.0,2,900.0,5111.111111111111
4,3.0,3,1654.0,6045.949214026602
40,2.0,2,1330.0,5338.345864661654
19,3.0,3,2500.0,5400.0
41,3.0,3,1614.0,5885.997521685254
21,3.0,3,1455.0,3161.512027491409
21,2.0,2,1200.0,7500.0
15,3.0,3,1445.0,4498.269896193772
23,1.0,2,900.0,5000.0
41,2.0,3,1381.0,3800.1448225923236
15,3.0,3,1575.0,4215.238095238095
5,2.0,2,1200.0,3600.0000000000005
2,2.0,3,1360.0,6250.0
20,3.0,3,1865.0,6648.793565683646
36,2.0,3,1157.0,6482.281763180639
40,2.0,3,1405.0,5551.601423487545
5,2.0,2,1160.0,3800.0
13,3.0,3,1790.0,7094.972067039105
8,2.0,2,1128.0,5820.035460992908
25,1.0,1,340.0,2941.176470588235
39,2.0,2,1125.0,3555.5555555555557
13,2.0,2,687.325,6215.40028370858
8,2.0,2,865.0,4855.491329479769
38,2.0,2,1200.0,3666.6666666666665
28,8.0,9,750.0,20000.0
41,1.0,1,628.0,3821.656050955414
8,2.0,2,1130.0,2888.495575221239
25,2.0,2,1197.0,4177.109440267334
38,2.0,3,1385.0,3500.3610108303246
40,3.0,3,2225.0,5168.539325842697
40,2.0,2,1272.0,7472.48427672956
40,2.0,2,1205.0,3236.514522821577
40,3.0,3,1541.0,4672.2907203114855
7,2.0,2,1201.0,2248.1265611990007
7,2.0,2,1500.0,4000.0
32,2.0,2,1258.0,5050.079491255962
8,2.0,2,910.0,4615.384615384615
39,2.0,2,1012.0,6571.146245059288
36,2.0,2,1282.0,5616.22464898596
23,3.0,3,1843.0,5000.0
13,5.0,4,2790.0,7096.774193548387
40,2.0,2,1192.0,5956.375838926174
36,1.0,1,615.0,2900.0
0,2.0,2,1035.0,3999.033816425121
35,2.0,2,1195.0,3514.6443514644357
16,3.0,3,2100.0,3476.1904761904766
15,4.0,4,2863.0,4889.97555012225
32,2.0,2,1128.0,3390.070921985816
19,2.0,2,1120.0,3000.0000000000005
41,3.0,3,2710.0,9261.992619926199
38,2.0,3,1330.0,3499.9999999999995
38,5.0,5,400.0,50000.0
33,4.0,4,3516.0,15358.361774744028
26,2.0,2,1290.0,7751.937984496124
41,6.0,6,3770.0,2917.7718832891246
41,3.0,3,1537.0,7807.417046193885
15,3.0,3,1512.0,5011.243386243385
40,2.0,2,1277.0,4800.313234142521
13,4.0,3,1985.0,9521.410579345089
25,5.0,5,8000.0,6250.0
41,2.0,2,890.0,4494.38202247191
19,9.0,9,2550.0,14117.64705882353
35,5.0,4,1200.0,9166.666666666666
13,5.0,4,2483.0,8658.880386629078
36,4.0,4,4111.0,7540.744344441741
8,2.0,2,975.0,3846.153846153846
17,2.0,2,1063.0,3000.0
29,5.0,4,4000.0,5300.0
40,2.0,2,1185.0,3375.527426160337
36,6.0,4,3430.0,6661.807580174927
17,2.0,2,1100.0,3372.727272727273
34,3.0,3,1600.0,4687.5
14,2.0,3,1482.0,6207.82726045884
25,2.0,2,1200.0,4833.333333333333
30,3.0,3,2400.0,6666.666666666667
29,3.0,3,1469.0,6058.54322668482
10,2.0,2,1160.0,4482.758620689655
24,2.0,3,1550.0,3354.838709677419
34,3.0,2,1200.0,6000.0
9,2.0,2,1266.0,4660.347551342812
18,2.0,2,1080.0,4000.0
10,2.0,2,920.0,3586.9565217391305
12,2.0,2,1310.0,3816.7938931297713
32,2.0,2,1157.0,4649.956784788245
41,3.0,3,1815.0,4517.906336088155
36,4.0,4,3900.0,7692.307692307692
9,2.0,2,1000.0,2888.0
14,2.0,2,1232.0,7224.025974025974
41,1.0,1,654.0,5871.559633027523
4,2.0,2,1181.0,4657.070279424217
40,3.0,3,1306.0,4184.532924961715
40,3.0,3,1626.0,5473.554735547355
40,3.0,3,1585.0,5552.05047318612
0,2.0,2,1370.0,4100.0
